project,series_description,scan_type,updated_scan_type
RC3,t1_structural,t1_structural,t1_improved3d
RC3,pass1_ae,pass1_ae,RC3_pass_ae1
RC3,pass1_an,pass1_an,RC3_pass_an1
RC3,pass2_ae,pass2_ae,RC3_pass_ae2
RC3,pass2_an,pass2_an,RC3_pass_an2
RC3,pass2_ve,pass2_ve,RC3_pass_ve2
RC3,pass2_vn,pass2_vn,RC3_pass_vn2
RC3,pass3_ae,pass3_ae,RC3_pass_ae3
RC3,pass3_an,pass3_an,RC3_pass_an3
RC3,pass3_ve,pass3_ve,RC3_pass_ve3
RC3,pass3_vn,pass3_vn,RC3_pass_vn3
RC3,hardi,hardi,hardi_60_sense
RC3,RC3_Restingstate_200,RC3_Restingstate_200,rsfmri_200
RC3,RC3_Restingstate_200_Y3,RC3_Restingstate_200_Y3,rsfmri_200
RC3,vw_run1,vw_run1,visual_words_1
RC3,vwords1_1,vwords1,visual_words_1
RC3,vw2,vw2,visual_words_2
RC3,vw3,vw3,visual_words_3
LD4,Improved_3D,Improved_3D,t1_improved3d
LD4,WIP_HARDI_60_SENSE,WIP_HARDI_60_SENSE,hardi_60_sense
LD4,LERD_Restingstate_200,LERD_Restingstate_200,rsfmri_200
LD4,pass4_ae,pass4_ae,LD4_pass_ae4
LD4,pass4_an,pass4_an,LD4_pass_an4
LD4,pass4_ve,pass4_ve,LD4_pass_ve4
LD4,pass4_vn,pass4_vn,LD4_pass_vn4
LM1,t1_structural,t1_structural,t1_improved3d
LM1,Improved 3D,Improved 3D,t1_improved3d
LM1,passages_aud_narr_Y3,passages_aud_narr_Y3,LD4_pass_an3
LM1,passages_aud_exp_Y3,passages_aud_exp_Y3,LD4_pass_ae3
LM1,passages_visual_exp_Y3,passages_visual_exp_Y3,LD4_pass_ve3
LM1,passages_visual_narr_Y3,passages_visual_narr_Y3,LD4_pass_vn3
LM1,RC3_Restingstate_200,RC3_Restingstate_200,rsfmri_200
DL5,T1,T1,t1_improved3d
DL5,t1_structural,t1_structural,t1_improved3d
DL5,PicEncode_v1,PicEncode_v1,DL5_PicEncode_v1
DL5,PicEncode_v2,PicEncode_v2,DL5_PicEncode_v2
DL5,PicRetrieval_v1,PicRetrieval_v1,DL5_PicRetrieval_v1
DL5,PicRetrieval_v2,PicRetrieval_v2,DL5_PicRetrieval_v2
DL5,WordEncode_v1,WordEncode_v1,DL5_WordEncode_v1
DL5,WordEncode_v2,WordEncode_v2,DL5_WordEncode_v2
DL5,WordRetrieval_v1,WordRetrieval_v1,DL5_WordRetrieval_v1
DL5,WordRetrieval_v2,WordRetrieval_v2,DL5_WordRetrieval_v2
DL5,PicEncode_v1,PicEncode_v2,DL5_PicEncode_v2
DL5,PicRetrieval_v1,PicRetrieval_v2,DL5_PicRetrieval_v2
DL5,RS_fMRI,RS_fMRI,rsfmri_340
LD1,fMRI Resting State 135,fMRI Resting State 135,rsfmri_135
LD1,WIP fMRI Resting State RC160 SENSE,WIP fMRI Resting State RC160 SENSE,rsfmri_160
NF3,RS_fMRI,RS_fMRI,rsfmri_400
NF3,rsfmri_mb2_365,rsfmri_mb2_365,rsfmri_365
